id,species,y,dist
314,Neotermes brevinotus,296,Distribution: Neotropical Region—Costa Rica.
314,Neotermes buxensis,467,Distribution: Oriental Region—India: West Bengal.
316,Neotermes castaneus,80,Distribution: Nearctic Region—USA: Florida.
318,Neotermes chilensis,578,Distribution: Neotropical Region—Chile.
320,Neotermes connexus,80,Distribution: Papuan Region—Hawaii; Marianas Islands.
321,Neotermes cryptops,252,Distribution: Ethiopian Region—Tanzania; Uganda.
321,Neotermes cubanus,544,Distribution: Neotropical Region—Cuba.
324,Neotermes eleanorae,195,Distribution: Oriental Region—India: Karnataka.
324,Neotermes erythraeus,345,Distribution: Ethiopian Region—Eritrea; Ethiopia.
324,Neotermes europae,592,Distribution: Ethiopian Region—Europa Island; Madagascar; Réunion.
325,Neotermes ferrugineus,362,Distribution: Papuan Region—Papua New Guinea.
325,Neotermes firmus,534,Distribution: Ethiopian Region—Kenya.
326,Neotermes fletcheri,151,"Distribution: Oriental Region—Bangladesh; India: Gujarat, Kerala, Tamil Nadu; Sri Lanka."
329,Neotermes glabriusculus,80,Distribution: Neotropical Region—Brazil: São Paulo.
329,Neotermes gnathoferrum,229,Distribution: Papuan Region—Fiji.
329,Neotermes gracilidens,329,Distribution: Ethiopian Region—Madagascar.
329,Neotermes grandis,533,Distribution: Oriental Region—Philippines: Luzon.
331,Neotermes hirtellus,525,"Distribution: Neotropical Region—Argentina: Chaco, Corrientes, Santiago del Estero; Brazil:  Mato Grosso."
332,Neotermes holmgreni,274,Distribution: Neotropical Region—Guyana; Panama; Trinidad and Tobago.
333,Neotermes humilis,196,Distribution: Oriental Region—China: Guangxi.
333,Neotermes insularis,388,"Distribution: Australian Region—Australia: Capital Territory, New South Wales, Northern  Territory, Queensland, Victoria, Western Australia; New Zealand."
339,Neotermes kartaboensis,80,Distribution: Neotropical Region—Guyana.
339,Neotermes kemneri,239,Distribution: Oriental Region—Sri Lanka.
339,Neotermes keralai,432,Distribution: Oriental Region—India: Kerala.
340,Neotermes ketelensis,80,"Distribution: Oriental Region—Indonesia: Djampea Island, Sulawesi."
340,Neotermes koshunensis,351,"Distribution: Oriental Region—China: Fujian, Guangdong, Guangxi, Hainan, Yunnan, Zhejiang;  Japan: Ryukyu Islands, Okinawa Islands; Taiwan."
342,Neotermes krishnai,513,Distribution: Oriental Region—India: Tamil Nadu.
343,Neotermes lagunensis,80,Distribution: Oriental Region—Philippines: Luzon.
344,Neotermes lepersonneae,250,Distribution: Ethiopian Region—Congo-Zaire.
344,Neotermes longiceps,421,"Distribution: Oriental Region—China: Guangdong, Hainan; Hong Kong."
345,Neotermes longipennis,80,Distribution: Oriental Region—Indonesia: Sumatra.
346,Neotermes malatensis,173,Distribution: Oriental Region—Philippines: Luzon.
346,Neotermes mangiferae,520,Distribution: Oriental Region—India: Tripura.
347,Neotermes medius,217,Distribution: Oriental Region—Indonesia: Sumatra.
347,Neotermes megaoculatus,399,Distribution: Oriental Region—India: Assam.
348,Neotermes megaoculatus,80,Distribution: Oriental Region—India: Uttarakhand.
349,Neotermes microculatus,207,Distribution: Oriental Region—India: Uttarakhand.
349,Neotermes microphthalmus,434,Distribution: Oriental Region—Philippines.
350,Neotermes minutus,80,Distribution: Oriental Region—Malaysia: Sabah.
350,Neotermes miracapitalis,206,Distribution: Oriental Region—China: Yunnan.
350,Neotermes modestus,387,Distribution: Neotropical Region—Argentina: Corrientes.
351,Neotermes mona,80,Distribution: Neotropical Region—British and US Virgin Islands; Dominican Republic; Haiti;  Puerto Rico; Turks and Caicos Islands.
352,Neotermes pallidicollis,479,Distribution: Ethiopian Region—Cameroon; Nigeria; São Tomé and Principe.
353,Neotermes papua,207,Distribution: Papuan Region—Papua New Guinea.
354,Neotermes paratensis,162,Distribution: Oriental Region—India: Tripura.
354,Neotermes parviscutatus,415,Distribution: Oriental Region—Philippines.
355,Neotermes phragmosus,80,Distribution: Neotropical Region—Cuba.
356,Neotermes rainbowi,80,Distribution: Papuan Region—Kiribati; Marshall Islands; Suwarrow Island; Tuvalu: Ellice  Islands.
357,Neotermes saleierensis,80,Distribution: Oriental Region—Indonesia: Sulawesi [Celebes].
357,Neotermes samoanus,351,Distribution: Papuan Region—Samoa.
358,Neotermes sanctaecrucis,80,Distribution: Papuan Region—New Guinea; New Hebrides; Solomon Islands: Santa Cruz.
358,Neotermes sarasini,341,Distribution: Papuan Region—New Caledonia: Loyalty Islands; Samoa.
360,Neotermes sinensis,80,Distribution: Oriental Region—China: Guangdong.
360,Neotermes sjostedti,393,Distribution: Papuan Region—Vanuatu [New Hebrides].
360,Neotermes sonneratiae,574,Distribution: Oriental Region—Indonesia: Java.
361,Neotermes sphenocephalus,327,Distribution: Oriental Region—China: Hainan.
361,Neotermes superans,509,Distribution: Ethiopian Region—Ethiopia.
362,Neotermes taishanensis,80,Distribution: Oriental Region—China: Guangdong.
364,Neotermes venkateshwara,151,Distribution: Oriental Region—India: Tamil Nadu.
364,Neotermes wagneri,606,Distribution: Neotropical Region—Brazil: Bahia: Rio de Janeiro.
369,Postelectrotermes amplus,80,Distribution: Ethiopian Region—Madagascar.
369,Postelectrotermes bhimi,316,Distribution: Oriental Region—India: Kerala.
369,Postelectrotermes bidentatus,586,Distribution: Palaearctic Region—Iran.
370,Postelectrotermes castaneiceps,141,Distribution: Ethiopian Region—Madagascar.
370,Postelectrotermes howa,367,Distribution: Ethiopian Region—Madagascar; Mauritius; Réunion.
374,Postelectrotermes nayari,80,Distribution: Oriental Region—India: Kerala.
375,Postelectrotermes pishinensis,80,Distribution: Palaearctic Region—Pakistan: Baluchistan.
376,Postelectrotermes reunionensis,206,Distribution: Ethiopian Region—Réunion Island.
376,Postelectrotermes sordwanae,320,Distribution: Ethiopian Region—South Africa.
